company,sector,country,year,carbon_intensity_tCO2e,revenue_usd_millions,physical_risk_score,transition_risk_score,stranded_asset_risk,green_revenue_pct,energy_transition_capex_usd_millions,tcfd_disclosure_score,credit_rating,market_cap_usd_millions
Safaricom,Telecoms,Kenya,2023,12.4,2800,3.2,4.1,low,18.5,45.0,72,BBB+,5200
KenGen,Energy,Kenya,2023,285.6,980,7.8,8.9,high,42.0,320.0,58,BB,1800
Equity Bank,Banking,Kenya,2023,8.1,1200,4.5,5.2,medium,9.2,12.0,65,BBB,3100
EABL,Consumer Goods,Kenya,2023,94.3,650,5.1,6.3,medium,5.8,28.0,49,BB+,1200
Nation Media,Media,Kenya,2023,6.2,180,2.8,3.9,low,12.0,4.5,41,B+,280
Bamburi Cement,Materials,Kenya,2023,412.8,480,6.4,9.2,high,3.1,85.0,55,BB-,620
KCB Group,Banking,Kenya,2023,9.4,1580,4.2,4.8,low,11.4,18.0,68,BBB,2900
KPLC,Utilities,Kenya,2023,198.4,760,8.2,9.5,high,55.0,210.0,62,BB,980
TotalEnergies Kenya,Oil & Gas,Kenya,2023,524.1,890,5.9,9.8,high,8.2,42.0,60,BBB-,1100
Britam,Insurance,Kenya,2023,5.8,420,3.8,4.4,low,14.2,8.0,70,BBB-,680
Co-op Bank,Banking,Kenya,2023,7.6,980,4.0,4.6,low,10.8,14.0,63,BBB-,1800
Mumias Sugar,Consumer Goods,Kenya,2023,156.2,120,7.2,7.8,high,2.4,15.0,32,CCC,95
ARM Cement,Materials,Kenya,2023,398.4,220,6.8,8.6,high,1.8,32.0,38,B,180
Safaricom,Telecoms,Kenya,2022,14.1,2600,3.0,3.8,low,15.2,38.0,68,BBB+,4900
KenGen,Energy,Kenya,2022,302.4,920,7.5,8.6,high,38.0,280.0,52,BB,1650
Equity Bank,Banking,Kenya,2022,9.2,1100,4.2,4.9,medium,7.8,10.0,60,BBB,2800
EABL,Consumer Goods,Kenya,2022,102.1,610,4.8,6.0,medium,4.2,22.0,44,BB+,1050
KCB Group,Banking,Kenya,2022,10.8,1450,4.0,4.5,low,9.6,14.0,62,BBB,2600
KPLC,Utilities,Kenya,2022,210.8,720,7.9,9.2,high,48.0,185.0,57,BB,880
TotalEnergies Kenya,Oil & Gas,Kenya,2022,542.6,850,5.6,9.5,high,6.4,35.0,55,BBB-,980
Safaricom,Telecoms,Kenya,2021,16.8,2400,2.8,3.5,low,12.0,30.0,62,BBB,4500
KenGen,Energy,Kenya,2021,318.2,880,7.2,8.2,high,32.0,240.0,46,BB,1500
Equity Bank,Banking,Kenya,2021,10.4,1020,3.9,4.6,medium,6.2,8.0,55,BBB-,2500
KPLC,Utilities,Kenya,2021,224.4,690,7.6,9.0,high,42.0,160.0,51,BB,780
TotalEnergies Kenya,Oil & Gas,Kenya,2021,558.9,810,5.2,9.2,high,4.8,28.0,50,BBB-,860
